source,target
842225268,7
45106278,2
577580060,8
1384344023968583684,5
153191999,7
1025454944,8
1384344023968583684,7
1384344023968583684,7
1375307514586218501,2
1384344023968583684,3
1128820709868875777,5
140179609,5
1379979944495886337,10
2762336020,6
188424058,5
718786340628860929,7
1460432273434632204,8
2411305168,5
141481031,3
877715559839879173,1
1214745504741023744,1
1331229834312343553,5
1260472396651380740,5
45739032,10
375954179,6
1399907623542132736,6
1327201488,7
892026546042654721,1
1020186431719968768,7
1342988437662687232,2
1192346292082495488,2
1200163179080376325,10
1653231000,2
950076066999267328,6
1230640182522675208,5
1020707606,5
1344426465148940289,10
833589283,7
886953441968390144,6
1360760343316869121,7
997353895,1
1248751257189257225,1
707204555457601536,2
243272857,1
2351904883,7
1211798817730809856,4
3082337504,10
1055917372622684160,5
1423469275482836992,10
2751118378,5
73744510,5
619518174,6
417487778,3
128019006,3
1440076438263136256,8
214710704,2
243480522,5
419181232,6
774990820374118401,5
145970813,9
1117572335987503104,6
801276823409750016,9
1200132526121136129,5
145970813,10
888898113456484352,7
362232831,5
1435321327695634442,7
79840840,5
88939583,1
1053388154001113088,5
1281248736509865985,6
635609238,10
1422297339591593985,8
1444290490694782980,10
1443424370001653765,7
1443376806166466560,10
1441128872947245057,5
1443430400831934464,10
1443430400831934464,4
1444295980422209549,3
1443371886541426698,10
1438925946036408320,7
519997520,5
446389805,9
542897677,3
195472136,5
1448844729576218624,5
104909490,7
139086342,5
730880917485551616,9
1440342843940212743,10
1443986173274333206,5
1464022505266552835,5
715267355845074944,5
1441259177335164930,10
1444290490694782980,8
1445962186879377408,10
618725314,5
1443997774249398305,5
1294100866971172870,5
1465141538032336896,7
1465147400188841987,10
1443424370001653765,7
1443376806166466560,9
1441985210174689281,4
1443430400831934464,6
1443371886541426698,10
1448844729576218624,1
1438925946036408320,1
1438925946036408320,5
1441136661035839499,5
1448676899224440836,4
1445591857132494848,7
1444290490694782980,8
1441259177335164930,5
1403871768,5
1283797648525467649,3
635609238,6
1465141538032336896,9
1465147400188841987,7
1443424370001653765,10
1443376806166466560,10
1443376806166466560,4
1443430400831934464,10
1443366974122250244,10
1443366974122250244,10
1445598776584917007,10
1443986173274333206,6
1444290490694782980,2
1445962186879377408,5
1453942964665806849,5
1440342843940212743,10
1441259177335164930,10
193974106,5
1398675558003793920,5
2880236758,3
1458832614408683527,1
1343969777954545664,4
1465147400188841987,10
1443424370001653765,10
1443376806166466560,4
1444295980422209549,3
1443430400831934464,10
1443366974122250244,3
1445591857132494848,10
127699318,5
1438925946036408320,5
1453945591797481472,1
1453942964665806849,10
1445593041083912204,5
1441263325799612416,5
1441852526903496709,10
1387149470425550848,5
1439643049391501315,10
1441259177335164930,1
1458832614408683527,10
1443424370001653765,7
1443376806166466560,5
1448676899224440836,10
3427376773,10
1443986173274333206,6
1454933549514117121,5
1443997774249398305,5
1355705870328492032,7
224417737,5
1347545798821761025,1
1470850261,3
1072226945306427392,5
547198717,4
744214400547033089,1
4171595895,5
1383202214857089028,6
166978776,1
166978776,2
1297254639394594817,1
771321697,9
276084791,8
705116482,3
62855005,5
1461022519700475910,8
1438925946036408320,3
1440987195012272128,5
232046767,5
1253040829406593024,9
1423886307189796867,7
279261731,4
995483298569867264,3
1359371318,3
1433783572440227840,3
1441263325799612416,10
3303359759,3
1440342843940212743,10
1384981471274967043,5
1441258013239615492,3
1355140614661267460,5
1441259177335164930,10
1312230489084825601,7
1626954986,3
878264523630751744,6
773916647908372481,8
742883169163194368,5
574306992,5
720417176990191616,3
3096881915,1
1403704691830165506,7
1142248952747700225,3
2373215786,1
982983462704566272,5
1461850369907167235,3
1402857954550988802,5
170704580,8
1461826137877843968,10
1321971651916058624,9
1105161589,3
218736048,5
1392173929960194055,5
1082419486295244801,5
518042014,2
1461077377904164878,5
145272563,2
955503910797574144,4
753503352,8
1237879555454468097,5
265485476,3
788181194085138432,7
788562184318181376,5
916120511679287302,3
53308978,7
1454580292983853057,2
417487778,6
774706231,5
1143717800,5
173608636,7
49974916,3
1448844729576218624,10
1443427396246458371,6
1443376806166466560,7
1443376806166466560,7
1444295980422209549,6
1438925946036408320,5
1448676899224440836,1
1445591857132494848,5
1443986173274333206,6
1443997774249398305,5
1441258013239615492,1
1441259177335164930,10
1448012703478554639,5
1343671107426136064,2
127977958,5
1407845816228843521,1
1461351784585187338,5
1443424370001653765,10
1443376806166466560,10
1444295980422209549,6
1443366974122250244,10
1443986173274333206,6
1443997774249398305,5
394855051,5
1458843990594306058,10
1458831715602948103,9
1156419049674485762,8
1454555013884387330,5
1454544990823198722,10
1450829997048991746,10
1441259177335164930,10
1454566563944751107,10
1445591857132494848,10
1454569569587171342,10
1454566443626999818,7
1454597564163137540,10
1441254338031063043,10
1454551133242937345,5
1387536525932568581,3
443891156,6
1201614883,10
1461850369907167235,2
1312140570,6
1438925946036408320,5
1445964808453558276,6
2544995294,4
1223604928981192706,9
1385697018618781702,5
401726252,2
2405285199,7
747090383495176192,5
1315827306674487297,2
1283515174658465792,3
98788995,4
543740102,9
140228869,3
1312768690719518720,5
293518999,3
1034192325071790081,3
1034192325071790081,3
96985591,3
283667226,2
324651642,10
1235248697178574848,7
1292233003389857795,8
148480992,4
221472187,2
625102334,1
1229579974065213441,9
1229579974065213441,10
1408938534510206980,2
142812341,10
381123886,5
1220080554713997312,5
193974106,3
127249204,7
1453836211345309700,2
113545975,3
1239311628866371593,2
2406352833,3
2278019709,9
2478545937,4
1008911886677610497,7
149266104,5
1090081192488120320,8
1321486243654471692,3
219664038,3
414597842,9
1372190154664857618,3
1247269065464385545,5
1461056423555702784,6
1394804484866457600,9
721321036877271041,4
1350838861572825090,5
1461351784585187338,5
1450919806560055299,9
1357289797,10
1461318937195556865,7
1295719973667700739,3
1454525121876615176,6
1437817086944886789,9
230938600,3
61551751,5
1368900799212978176,1
1448676899224440836,5
1402128221399814144,7
1447721613361885189,10
1448103553315262471,1
1448634542189858828,10
139587788,2
1450196418862501888,8
1448103553315262471,8
3230457573,3
607360546,5
1586436913,3
415063598,6
1400593495266676743,6
1392173929960194055,5
76704095,10
2430037539,3
1440342843940212743,10
130973543,3
130973543,10
2431747042,3
170412267,3
1313936210147057671,4
1283877960857067529,1
1445593041083912204,6
374856807,3
1445585873408458752,3
900398475120181249,3
1427457544440750081,10
954411339346333696,9
474435185,2
273506466,7
273506466,7
3014547173,3
735108092002750464,2
1402857954550988802,3
192956647,7
36952930,10
848368682669572097,6
814837393295638528,5
1050182141391380480,1
1273427394607616001,6
1441251111663390721,3
