id,label
633,Bandido
634,corrupto
635,clientelismo
636,petroleo
637,venezuela
638,empleos
639,economica
640,usdcop
641,PlagioYMediocridad
642,Vacancia
643,ELPUEBLOPIDE
644,VACANCIA
645,TRAIDORES
646,CASTILLO
647,VacanciaPedroCastillo
648,paridos
649,FarcSantos
650,Plebiscito
651,BanderaColombia
652,RevocatoriaDanielQuintero
653,neauribista
654,paraco
655,MalditoUribismo
656,bobohp
657,NiUnVotoMas
658,PetroNoSeraCandidato
659,ParamilitarCapo82
660,MariaSalazarInfameMentirosa
661,MedellinConPetro
662,FicoEsUribe
663,medellinestacambiando
664,HoyGobiernaElQueDijoUribe
665,descaro
666,fecode
667,nomasfecode
668,Farcode
669,10Dic
670,ULTIMAHORA
671,ULTIMOMINUTO
672,NoMasViolencia
673,PetroHamponElPuebloNoEsGuevon
674,PetroHamponElPuebloNoEsGüevon
675,NoSeamosPendejos
676,NoMasFecode
677,SantosEnemigoPublicoDeColombia
678,YoNoParo
679,YoProduzco
680,NoMasBloqueos
681,WashingtonDC
682,PapeletaParaRevocarJEPYCortes
683,AcuerdoDeTrampas
684,MentiraDeMarcaMundial
685,CompraVentaDeImpunidad
686,CortesCelestinas
687,MercaderesDeLaLey
688,SantosDespreciableHijueputa
689,Agenda2030
690,UnMilagroEs
691,NosUnimosONosHundimos
692,Uribistas
693,nomasuribismo
694,nomasCD
695,NietoVP2022
696,UribistaVotaUribista
697,PreocupantePanorama
698,CualquieraMenosPetro
699,FarcSantista
700,nobelbrecht
701,ColombiaSeRespeta
702,franciamarquezeslomaximo
703,Rata
704,LuisPerez
705,OrionNuncaMas
706,VivaElPactoHistorico
707,HonorMilitar
708,reformapolicial
709,ColombiaEnDictadura
710,SOSColombia
711,HelpUs
712,ColombiaDDHH
713,DuqueJoker
714,PrimeroVidaYAmbiente
715,ElCambioEsPosibleEnColombia
716,VerdesConPetro
717,ElReporteCoronell
718,Colombialibre
719,Queporqueria
720,ClaudiaMasacre
721,BotaMilitar
722,FicoGutierrezEs
723,NarcoGuerrillas
724,NOPASARÁN
725,conciertoparadelinquir
726,DePetroPienso
727,MiCausaEsNariño
728,MiCausaEsLaGente
729,MICausaEsColombia
730,JohnMiltonPresidente
731,BlackFriday
732,ProVida
733,Uribista
734,UribismoUnidosPorEl2022
735,NoMasReeleccionCongreso
736,NomasZanganos
737,UribeMafiosoElPuebloEstáFurioso
738,LaViolenciaNoEsNormal
739,PoliciaSinIdentificarEsParamilitar
740,niunvoto
741,uribeparacohpta
742,NoAlNOM
743,5MillonesDeVotos
744,SalarioMisero
745,Dolar
746,PesoDevaluado
